;IDIndikator;Indikator;mes;god;idter;nter;vrednost;CreateDate;LastUpdate;IDLegenda;nIzvorI
3354;IND02M12;Број активних привредних друштава по NACE Rev.2  (сектор K);5;2021;70491;Деспотовац;1;6/8/2021 3:37:44 PM;6/8/2021 3:37:44 PM;A;Агенција за привредне регистре (АПР) и Републички завод за статистику (РЗС)
3355;IND02M13;Број активних привредних друштава по NACE Rev.2  (сектор L);5;2021;70491;Деспотовац;0;6/8/2021 3:37:44 PM;6/8/2021 3:37:44 PM;A;Агенција за привредне регистре (АПР) и Републички завод за статистику (РЗС)
3356;IND02M14;Број активних привредних друштава по NACE Rev.2  (сектор M);5;2021;70491;Деспотовац;10;6/8/2021 3:37:44 PM;6/8/2021 3:37:44 PM;A;Агенција за привредне регистре (АПР) и Републички завод за статистику (РЗС)
3357;IND02M15;Број активних привредних друштава по NACE Rev.2  (сектор N);5;2021;70491;Деспотовац;6;6/8/2021 3:37:44 PM;6/8/2021 3:37:44 PM;A;Агенција за привредне регистре (АПР) и Републички завод за статистику (РЗС)
3358;IND02M16;Број активних привредних друштава по NACE Rev.2  (сектор O);5;2021;70491;Деспотовац;0;6/8/2021 3:37:44 PM;6/8/2021 3:37:44 PM;A;Агенција за привредне регистре (АПР) и Републички завод за статистику (РЗС)
3359;IND02M17;Број активних привредних друштава по NACE Rev.2  (сектор P);5;2021;70491;Деспотовац;4;6/8/2021 3:37:44 PM;6/8/2021 3:37:44 PM;A;Агенција за привредне регистре (АПР) и Републички завод за статистику (РЗС)
3360;IND02M18;Број активних привредних друштава по NACE Rev.2  (сектор Q);5;2021;70491;Деспотовац;0;6/8/2021 3:37:44 PM;6/8/2021 3:37:44 PM;A;Агенција за привредне регистре (АПР) и Републички завод за статистику (РЗС)
3361;IND02M19;Број активних привредних друштава по NACE Rev.2  (сектор R);5;2021;70491;Деспотовац;1;6/8/2021 3:37:44 PM;6/8/2021 3:37:44 PM;A;Агенција за привредне регистре (АПР) и Републички завод за статистику (РЗС)
3362;IND02M20;Број активних привредних друштава по NACE Rev.2  (сектор S);5;2021;70491;Деспотовац;0;6/8/2021 3:37:44 PM;6/8/2021 3:37:44 PM;A;Агенција за привредне регистре (АПР) и Републички завод за статистику (РЗС)
3363;IND02M21;Број активних привредних друштава по NACE Rev.2  (сектор T);5;2021;70491;Деспотовац;0;6/8/2021 3:37:44 PM;6/8/2021 3:37:44 PM;A;Агенција за привредне регистре (АПР) и Републички завод за статистику (РЗС)
3364;IND02M22;Број активних привредних друштава по NACE Rev.2  (сектор U);5;2021;70491;Деспотовац;0;6/8/2021 3:37:44 PM;6/8/2021 3:37:44 PM;A;Агенција за привредне регистре (АПР) и Републички завод за статистику (РЗС)
3365;IND02M23;Број основаних привредних друштава ;5;2021;70491;Деспотовац;1;6/8/2021 3:37:44 PM;6/8/2021 3:37:44 PM;A;Агенција за привредне регистре (АПР) и Републички завод за статистику (РЗС)
3366;IND02M24;Број брисаних привредних друштава ;5;2021;70491;Деспотовац;0;6/8/2021 3:37:44 PM;6/8/2021 3:37:44 PM;A;Агенција за привредне регистре (АПР) и Републички завод за статистику (РЗС)
3367;IND02M25;Број активних привредних друштава у ликвидацији;5;2021;70491;Деспотовац;0;6/8/2021 3:37:44 PM;6/8/2021 3:37:44 PM;A;Агенција за привредне регистре (АПР) и Републички завод за статистику (РЗС)
3368;IND02M26;Број активних привредних друштава у стечају;5;2021;70491;Деспотовац;0;6/8/2021 3:37:44 PM;6/8/2021 3:37:44 PM;A;Агенција за привредне регистре (АПР) и Републички завод за статистику (РЗС)
3369;IND02M27;Број активних предузетника;5;2021;70491;Деспотовац;642;6/8/2021 3:37:44 PM;6/8/2021 3:37:44 PM;A;Агенција за привредне регистре (АПР) и Републички завод за статистику (РЗС)
3370;IND02M28;Број активних предузетника по NACE Rev.2  (сектор A);5;2021;70491;Деспотовац;23;6/8/2021 3:37:44 PM;6/8/2021 3:37:44 PM;A;Агенција за привредне регистре (АПР) и Републички завод за статистику (РЗС)
3371;IND02M29;Број активних предузетника по NACE Rev.2  (сектор B);5;2021;70491;Деспотовац;1;6/8/2021 3:37:44 PM;6/8/2021 3:37:44 PM;A;Агенција за привредне регистре (АПР) и Републички завод за статистику (РЗС)
3372;IND02M30;Број активних предузетника по NACE Rev.2  (сектор C);5;2021;70491;Деспотовац;89;6/8/2021 3:37:44 PM;6/8/2021 3:37:44 PM;A;Агенција за привредне регистре (АПР) и Републички завод за статистику (РЗС)
3373;IND02M31;Број активних предузетника по NACE Rev.2  (сектор D);5;2021;70491;Деспотовац;2;6/8/2021 3:37:44 PM;6/8/2021 3:37:44 PM;A;Агенција за привредне регистре (АПР) и Републички завод за статистику (РЗС)
3374;IND02M32;Број активних предузетника по NACE Rev.2  (сектор E);5;2021;70491;Деспотовац;28;6/8/2021 3:37:44 PM;6/8/2021 3:37:44 PM;A;Агенција за привредне регистре (АПР) и Републички завод за статистику (РЗС)
